
1647 - zzSize=-5.5  [11/9/2016 03:41:51--11/9/2016 03:42:27]
1662 - ZZSize=11.5  [11/9/2016 03:42:27--11/9/2016 03:53:14] >=10 + + + 10.78
1664 - zzSize=-5.25  [11/9/2016 03:53:14--11/9/2016 03:54:06]
1666 - zzSize=4.5  [11/9/2016 03:54:06--11/9/2016 03:55:09]
1670 - zzSize=-6.75  [11/9/2016 03:55:09--11/9/2016 03:57:18]
1672 - zzSize=4.5  [11/9/2016 03:57:18--11/9/2016 03:57:57]
1691 - ZZSize=-13.25  [11/9/2016 03:57:57--11/9/2016 04:24:46] >=10 - - - 26.82
1704 - ZZSize=13.75  [11/9/2016 04:24:46--11/9/2016 04:34:58] >=10 + + + 10.2
1707 - zzSize=-6  [11/9/2016 04:34:58--11/9/2016 04:42:39]
1709 - zzSize=4.5  [11/9/2016 04:42:39--11/9/2016 04:44:54]
1726 - ZZSize=-14  [11/9/2016 04:44:54--11/9/2016 05:10:48] >=10 - - - 25.9
1728 - zzSize=4.5  [11/9/2016 05:10:48--11/9/2016 05:12:17]
1733 - zzSize=-6  [11/9/2016 05:12:17--11/9/2016 05:17:57]
1737 - zzSize=4.25  [11/9/2016 05:17:57--11/9/2016 05:23:25]
1744 - ZZSize=-11  [11/9/2016 05:23:25--11/9/2016 05:32:58] >=10 - - - 9.55
1750 - ZZSize=12.25  [11/9/2016 05:32:58--11/9/2016 05:38:05] >=10 + + + 5.12
1756 - zzSize=-7.25  [11/9/2016 05:38:05--11/9/2016 05:46:19]
1773 - ZZSize=15.5  [11/9/2016 05:46:19--11/9/2016 06:09:15] >=10 + + + 22.93
1779 - zzSize=-9.5  [11/9/2016 06:09:15--11/9/2016 06:16:24]
1789 - ZZSize=10  [11/9/2016 06:16:24--11/9/2016 06:23:25] >=10 + + + 7.02
1792 - zzSize=-6  [11/9/2016 06:23:25--11/9/2016 06:26:50]
1805 - ZZSize=11.25  [11/9/2016 06:26:50--11/9/2016 06:38:10] >=10 + + + 11.33
1808 - zzSize=-6.25  [11/9/2016 06:38:10--11/9/2016 06:41:10]
1817 - zzSize=9.75  [11/9/2016 06:41:10--11/9/2016 06:49:25]
1821 - zzSize=-5  [11/9/2016 06:49:25--11/9/2016 06:56:37]
1830 - ZZSize=13.75  [11/9/2016 06:56:37--11/9/2016 07:02:30] >=10 + + + 5.88
1836 - zzSize=-9.25  [11/9/2016 07:02:30--11/9/2016 07:08:11]
1838 - zzSize=4.5  [11/9/2016 07:08:11--11/9/2016 07:09:00]
1842 - zzSize=-8  [11/9/2016 07:09:00--11/9/2016 07:14:21]
1845 - zzSize=5.5  [11/9/2016 07:14:21--11/9/2016 07:17:44]
1855 - ZZSize=-10  [11/9/2016 07:17:44--11/9/2016 07:28:52] >=10 - - - 11.13
1865 - zzSize=7.25  [11/9/2016 07:28:52--11/9/2016 07:39:31]
1870 - zzSize=-6  [11/9/2016 07:39:31--11/9/2016 07:45:14]
1879 - ZZSize=13.75  [11/9/2016 07:45:14--11/9/2016 08:08:22] >=10 + + + 23.13
1883 - zzSize=-6.5  [11/9/2016 08:08:22--11/9/2016 08:11:35]
1908 - ZZSize=27.25  [11/9/2016 08:11:35--11/9/2016 08:32:29] >=22 + + + 20.9
1916 - zzSize=-7  [11/9/2016 08:32:29--11/9/2016 08:35:14]
1918 - zzSize=4.25  [11/9/2016 08:35:14--11/9/2016 08:36:44]
1925 - ZZSize=-11  [11/9/2016 08:36:44--11/9/2016 08:41:58] >=10 - - - 5.23
1943 - ZZSize=19.5  [11/9/2016 08:41:58--11/9/2016 08:51:08] >=16 + + + 9.17
1947 - zzSize=-6.5  [11/9/2016 08:51:08--11/9/2016 08:52:04]
1955 - zzSize=7.25  [11/9/2016 08:52:04--11/9/2016 08:55:25]
1964 - zzSize=-9.25  [11/9/2016 08:55:25--11/9/2016 09:01:56]
1966 - zzSize=5  [11/9/2016 09:01:56--11/9/2016 09:03:06]
1977 - zzSize=-9.25  [11/9/2016 09:03:06--11/9/2016 09:12:34]
1979 - zzSize=4.25  [11/9/2016 09:12:34--11/9/2016 09:13:29]
1985 - zzSize=-7  [11/9/2016 09:13:29--11/9/2016 09:20:34]
1992 - zzSize=6  [11/9/2016 09:20:34--11/9/2016 09:30:35]
1994 - zzSize=-5  [11/9/2016 09:30:35--11/9/2016 09:32:51]
1996 - zzSize=4.5  [11/9/2016 09:32:51--11/9/2016 09:33:33]
1999 - zzSize=-5.5  [11/9/2016 09:33:33--11/9/2016 09:38:08]
2035 - ZZSize=28.25  [11/9/2016 09:38:08--11/9/2016 10:37:22] >=22 + + + 59.23
2039 - zzSize=-4.5  [11/9/2016 10:37:22--11/9/2016 10:44:44]
2045 - ZZSize=10.75  [11/9/2016 10:44:44--11/9/2016 10:55:06] >=10 + + + 10.37
2054 - ZZSize=-14  [11/9/2016 10:55:06--11/9/2016 11:13:29] >=10 - - - 18.38
2066 - zzSize=8.75  [11/9/2016 11:13:29--11/9/2016 11:37:56]
2068 - zzSize=-4.5  [11/9/2016 11:37:56--11/9/2016 11:40:07]
2084 - zzSize=7.75  [11/9/2016 11:40:07--11/9/2016 12:17:05]
2091 - ZZSize=-10.5  [11/9/2016 12:17:05--11/9/2016 12:26:52] >=10 - - - 9.78
2101 - ZZSize=10.25  [11/9/2016 12:26:52--11/9/2016 12:57:47] >=10 + + + 30.92
2103 - zzSize=-5  [11/9/2016 12:57:47--11/9/2016 13:01:38]
2117 - ZZSize=12  [11/9/2016 13:01:38--11/9/2016 13:46:42] >=10 + + + 45.07
2122 - zzSize=-5.5  [11/9/2016 13:46:42--11/9/2016 14:00:08]
2128 - zzSize=7.5  [11/9/2016 14:00:08--11/9/2016 14:22:01]
2139 - ZZSize=-11  [11/9/2016 14:22:01--11/9/2016 14:48:45] >=10 - - - 26.73
2148 - zzSize=6.75  [11/9/2016 14:48:45--11/9/2016 15:09:15]
2155 - zzSize=-7.25  [11/9/2016 15:09:15--11/9/2016 17:43:58]
2162 - zzSize=7.75  [11/9/2016 17:43:58--11/9/2016 19:02:07]
2172 - zzSize=-6.75  [11/9/2016 19:02:07--11/9/2016 20:36:25]
2181 - ZZSize=14.5  [11/9/2016 20:36:25--11/9/2016 23:31:59] >=10 + + + 175.57
2185 - zzSize=-6.25  [11/9/2016 23:31:59--11/10/2016 00:27:58]
2192 - zzSize=7.75  [11/10/2016 00:27:58--11/10/2016 01:58:52]
2197 - zzSize=-5  [11/10/2016 01:58:52--11/10/2016 02:11:08]
2206 - ZZSize=13.25  [11/10/2016 02:11:08--11/10/2016 02:27:38] >=10 + + + 16.5
2216 - zzSize=-9.75  [11/10/2016 02:27:38--11/10/2016 03:33:00]
2221 - zzSize=8.25  [11/10/2016 03:33:00--11/10/2016 04:45:53]
2233 - ZZSize=-14  [11/10/2016 04:45:53--11/10/2016 06:37:52] >=10 - - - 111.98
2243 - zzSize=8.75  [11/10/2016 06:37:52--11/10/2016 07:30:16]
2249 - zzSize=-6.5  [11/10/2016 07:30:16--11/10/2016 07:54:15]
2251 - zzSize=4.25  [11/10/2016 07:54:15--11/10/2016 08:02:27]
2253 - zzSize=-4.25  [11/10/2016 08:02:27--11/10/2016 08:22:10]
2268 - ZZSize=11.25  [11/10/2016 08:22:10--11/10/2016 08:49:43] >=10 + + + 27.55
2287 - ZZSize=-17.75  [11/10/2016 08:49:43--11/10/2016 09:15:11] >=16 - - - 25.47
2289 - zzSize=4.5  [11/10/2016 09:15:11--11/10/2016 09:17:19]
2300 - ZZSize=-10.5  [11/10/2016 09:17:19--11/10/2016 09:30:13] >=10 - - - 12.9
2304 - zzSize=4.5  [11/10/2016 09:30:13--11/10/2016 09:33:49]
2313 - ZZSize=-11.5  [11/10/2016 09:33:49--11/10/2016 09:40:13] >=10 - - - 6.4
2322 - ZZSize=12.75  [11/10/2016 09:40:13--11/10/2016 09:46:27] >=10 + + + 6.23
